.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
3,GLMNET,prediction,15/08/2021,4.849396704,4.103209091,5.595584317,126.6633478,59.53423608,268.2349226
3,GLMNET,prediction,22/08/2021,4.493903653,3.74771604,5.240091266,88.470025,41.42407637,187.6873224
3,GLMNET,prediction,29/08/2021,4.405019348,3.658831735,5.151206961,80.86072669,37.81596904,171.6397341
3,GLMNET,prediction,05/09/2021,4.373413533,3.62722592,5.119601146,78.31391075,36.6083432,166.2686405
3,GLMNET,prediction,12/09/2021,4.295139898,3.548952285,5.041327511,72.34247416,33.77686214,153.6752118
3,GLMNET,prediction,19/09/2021,4.348828177,3.602640564,5.09501579,76.38772507,35.69500213,162.2064217
3,GLMNET,prediction,26/09/2021,4.116539053,3.37035144,4.862726666,60.34655725,28.08874821,128.3764881
3,GLMNET,prediction,03/10/2021,4.114351118,3.368163505,4.860538731,60.21248172,28.0251735,128.0937302
3,GLMNET,prediction,10/10/2021,4.039217085,3.293029472,4.785404698,55.78187004,25.92430667,118.7498158
3,GLMNET,prediction,17/10/2021,4.154888567,3.408700954,4.90107618,62.74486088,29.22595384,133.4343775
3,GLMNET,prediction,24/10/2021,4.349536036,3.603348423,5.095723649,76.44252404,35.72098621,162.3219897
3,GLMNET,prediction,31/10/2021,4.646501975,3.900314362,5.392689588,103.2197838,48.41798181,218.793746
3,GLMNET,prediction,07/11/2021,4.735452751,3.989265138,5.481640364,112.9150222,53.01518108,239.2404662
3,GLMNET,prediction,14/11/2021,4.635054356,3.888866743,5.381241969,102.0335183,47.8554893,216.2919777
3,GLMNET,prediction,21/11/2021,4.517943289,3.771755676,5.264130902,90.64691283,42.45629309,192.2782581
3,GLMNET,prediction,28/11/2021,4.528073492,3.781885879,5.274261105,91.580033,42.89875146,194.2461568
3,GLMNET,prediction,05/12/2021,4.411833769,3.665646156,5.158021382,81.42046513,38.08138069,172.8201914
3,GLMNET,prediction,12/12/2021,4.377839799,3.631652186,5.124027412,78.66575338,36.77517672,167.0106571
3,GLMNET,prediction,19/12/2021,4.123779603,3.37759199,4.869967216,60.79235199,28.30013107,129.3166445
3,GLMNET,prediction,26/12/2021,4.295239159,3.549051546,5.041426772,72.34975463,33.78031432,153.6905659
3,GLMNET,prediction,02/01/2022,4.424959507,3.472001981,5.377917033,82.50942559,31.20114403,215.5706956
3,GLMNET,prediction,09/01/2022,4.071685592,3.118728066,5.024643118,57.65574898,21.61759326,151.115959
3,GLMNET,prediction,16/01/2022,4.29026012,3.337302594,5.243217646,71.985451,27.14311084,188.2781537
3,GLMNET,prediction,23/01/2022,4.312300055,3.35934253,5.265257581,73.61190325,27.77026906,192.4961434
3,GLMNET,prediction,30/01/2022,4.372926856,3.41996933,5.325884382,78.27531994,29.56847748,204.5901003
3,GLMNET,prediction,06/02/2022,4.496360955,3.543403429,5.44931848,88.69015018,33.58442474,231.5995907
3,GLMNET,prediction,13/02/2022,4.781257465,3.828299939,5.734214991,118.2542138,44.98429564,308.2700955
